FIPS,GEO_ID,NAME,NumHouseholds,Broadband,EP_POV150,RUCC_2013,Description,Metro_Nonmetro,prop_broadband,State,County_Name
37105,0500000US37105,"Lee County, North Carolina",22290,16698,27.5,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.749125168,NC,Lee County
37107,0500000US37107,"Lenoir County, North Carolina",23494,18003,34.4,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.766280753,NC,Lenoir County
37109,0500000US37109,"Lincoln County, North Carolina",33621,28486,19.6,1,Metro - Counties in metro areas of 1 million population or more,Urban,0.847268076,NC,Lincoln County
37111,0500000US37111,"McDowell County, North Carolina",18275,14025,27.5,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.76744186,NC,McDowell County
37113,0500000US37113,"Macon County, North Carolina",16062,12095,27,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Rural,0.753019549,NC,Macon County
37115,0500000US37115,"Madison County, North Carolina",8373,6060,24.9,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.723754927,NC,Madison County
37117,0500000US37117,"Martin County, North Carolina",9622,6934,33.4,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.7206402,NC,Martin County
37119,0500000US37119,"Mecklenburg County, North Carolina",421950,380319,19.3,1,Metro - Counties in metro areas of 1 million population or more,Urban,0.901336651,NC,Mecklenburg County
37121,0500000US37121,"Mitchell County, North Carolina",6402,4871,23.1,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Rural,0.760855983,NC,Mitchell County
37123,0500000US37123,"Montgomery County, North Carolina",10265,7296,26.9,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.710764735,NC,Montgomery County
37125,0500000US37125,"Moore County, North Carolina",40575,34264,18.2,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.844460875,NC,Moore County
